SYS_FIELD_NAME,FIELD_DESC,ML_USEFULNESS_DESC
YEAR,"Year","Can capture yearly seasonality or trends in delays—useful for time-series forecasting and anomaly detection when comparing across years."
QUARTER,"Quarter (1-4)","Helps identify quarterly patterns or seasonality in delays, supporting time-series prediction and detecting unusual quarterly trends."
MONTH,"Month","Provides monthly seasonality; used in time-series forecasting and for modeling demand/resource allocation changes by month."
DAY_OF_MONTH,"Day of Month","May capture trends around specific dates (e.g., holidays) that affect delays, demand forecasting, and anomaly detection for high-delay days."
DAY_OF_WEEK,"Day of Week","Essential for identifying weekly seasonality—weekends or specific weekdays may have more delays, assisting time-series models."
FL_DATE,"Flight Date (yyyymmdd)","Enables exact sequencing for time-series analysis and can be used to spot anomalous days or provide context for optimization models."
MKT_UNIQUE_CARRIER,"Unique Marketing Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.","Carrier-level aggregated performance can inform whether certain airlines systematically have more delays (anomaly detection, forecasting)."
MKT_CARRIER_FL_NUM,"Flight Number","Used to analyze flight-specific delay patterns over time—helpful for detecting consistently late flights (anomaly detection, resource scheduling)."
OP_UNIQUE_CARRIER,"Unique Carrier Code. When the same code has been used by multiple carriers, a numeric suffix is used for earlier users, for example, PA, PA(1), PA(2). Use this field for analysis across a range of years.","Enables differentiation by operating carrier, allowing detection of carrier-specific anomalies and optimization of carrier resource allocation."
TAIL_NUM,"Tail Number","Identifies specific aircraft; crucial for predicting aircraft-specific delays and optimizing maintenance schedules."
ORIGIN_AIRPORT_ID,"Origin Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport code may be reused over time. Example: the Marine Terminal (MTN), Baltimore, is ID 8253.","Allows detection of airport-specific trends/anomalies, resource and staff optimization at the departure airport."
ORIGIN,"Origin Airport","Identifies departure airport for use in local demand/resource forecasting and anomaly detection."
ORIGIN_STATE_ABR,"Origin Airport, State Code","Can capture regional patterns in delays and support state-wide anomaly detection/optimization."
DEST_AIRPORT_ID,"Destination Airport, Airport ID. An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport code may be reused over time. Example: the Marine Terminal (MTN), Baltimore, is ID 8253.","Allows detection of destination-specific delay patterns, useful for resource planning/optimization."
DEST,"Destination Airport","Destination airport effect on delay; supports optimization and anomaly detection."
DEST_STATE_ABR,"Destination Airport, State Code","Captures regional destination effects; supports optimization models for resources across states."
CRS_DEP_TIME,"CRS Departure Time (local time: hhmm)","Important for capturing delay likelihood based on scheduled time—detects high-risk intervals for delays (forecasting/anomaly detection)."
DEP_TIME,"Actual Departure Time (local time: hhmm)","Used in label calculation for delay, may help spot operational anomalies in real time."
DEP_DELAY,"Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.","Primary ML target for delay prediction; also flags operational anomalies."
DEP_DEL15,"Departure Delay Indicator, 15 Minutes or More (1=Yes)","Binary target variable for classification-based delay predictions and for anomaly detection."
DEP_TIME_BLK,"CRS Departure Time Block, Hourly Intervals","Groups flights for time block trend analysis; used in scheduling and identifying high-risk hours."
TAXI_OUT,"Taxi Out Time, in Minutes","May indicate congestion or inefficiency at origin; key for anomaly detection and optimization."
WHEELS_OFF,"Wheels Off Time (local time: hhmm)","Can be used to analyze operational pipeline timing and detect system bottlenecks."
WHEELS_ON,"Wheels On Time (local time: hhmm)","Useful for detecting late arrivals and optimizing gate scheduling."
TAXI_IN,"Taxi In Time, in Minutes","May reflect gate/ground resource delays; good for anomaly detection at destination."
CRS_ARR_TIME,"CRS Arrival Time (local time: hhmm)","Planned arrival time helps predict periods with peak arrival/departure congestion."
ARR_TIME,"Actual Arrival Time (local time: hhmm)","Comparison with schedule defines label and allows post-mortem anomaly analysis."
ARR_DELAY,"Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.","Target for delay prediction; also used in model evaluation for anomaly detection."
ARR_DEL15,"Arrival Delay Indicator, 15 Minutes or More (1=Yes)","Classification label for delayed arrivals."
ARR_TIME_BLK,"CRS Arrival Time Block, Hourly Intervals","Enables grouping for resource optimization and detecting delay-prone periods."
